Most Common Cancers (Incidence),5 YR Age Band,Metrics,Incidence,Incidence Crude Rate,Population Count
,15-19 years,,0,0,425339
,20-24 years,,0,0,430082
,25-29 years,,0,0,417554
,30-34 years,,0,0,450120
,35-39 years,,2,0.4,488773
,40-44 years,,33,6.1,543009
,45-49 years,,143,29.9,479033
,50-54 years,,476,116.9,407206
,55-59 years,,"1,060",297.4,356462
,60-64 years,,"1,288",485,265576
,65-69 years,,"1,724",800.6,215345
,70-74 years,,"1,641",874.9,187575
,75-79 years,,"1,151",807,142630
,80-84 years,,654,717.3,91173
,85-89 years,,288,787,36594
,90+ years,,108,708.9,15235
,Total,,"8,571",140.1,6119456
Stomach,00-04 years,,0,0,344980
,05-09 years,,0,0,396738
,10-14 years,,0,0,426032
,15-19 years,,0,0,425339
,20-24 years,,0,0,430082
,25-29 years,,0,0,417554
,30-34 years,,6,1.3,450120
,35-39 years,,13,2.7,488773
,40-44 years,,21,3.9,543009
,45-49 years,,44,9.2,479033
,50-54 years,,36,8.8,407206
,55-59 years,,59,16.6,356462
,60-64 years,,87,32.8,265576
,65-69 years,,102,47.4,215345
,70-74 years,,128,68.2,187575
,75-79 years,,102,71.5,142630
,80-84 years,,75,82.3,91173
,85-89 years,,35,95.6,36594
,90+ years,,16,105,15235
,Total,,724,11.8,6119456
Testis,00-04 years,,2,0.6,344980
,05-09 years,,2,0.5,396738
,10-14 years,,0,0,426032
,15-19 years,,11,2.6,425339
,20-24 years,,41,9.5,430082
,25-29 years,,62,14.8,417554
,30-34 years,,69,15.3,450120
,35-39 years,,47,9.6,488773
,40-44 years,,40,7.4,543009
,45-49 years,,29,6.1,479033
,50-54 years,,7,1.7,407206
,55-59 years,,5,1.4,356462
,60-64 years,,4,1.5,265576
,65-69 years,,1,0.5,215345
,70-74 years,,1,0.5,187575
,75-79 years,,0,0,142630
,80-84 years,,0,0,91173
,85-89 years,,1,2.7,36594
,90+ years,,1,6.6,15235
,Total,,323,5.3,6119456
Thyroid,00-04 years,,0,0,344980
,05-09 years,,0,0,396738
,10-14 years,,0,0,426032
,15-19 years,,4,0.9,425339
,20-24 years,,4,0.9,430082
,25-29 years,,26,6.2,417554
,30-34 years,,16,3.6,450120
,35-39 years,,27,5.5,488773
,40-44 years,,41,7.6,543009
,45-49 years,,42,8.8,479033
,50-54 years,,35,8.6,407206
,55-59 years,,42,11.8,356462
,60-64 years,,33,12.4,265576
,65-69 years,,26,12.1,215345
,70-74 years,,23,12.3,187575
,75-79 years,,18,12.6,142630
,80-84 years,,6,6.6,91173
,85-89 years,,1,2.7,36594
,90+ years,,0,0,15235
,Total,,344,5.6,6119456
Unknown,00-04 years,,0,0,344980
,05-09 years,,0,0,396738
,10-14 years,,0,0,426032
,15-19 years,,0,0,425339
,20-24 years,,0,0,430082
,25-29 years,,0,0,417554
,30-34 years,,0,0,450120
,35-39 years,,0,0,488773
,40-44 years,,0,0,543009
,45-49 years,,0,0,479033
,50-54 years,,0,0,407206
,55-59 years,,0,0,356462
,60-64 years,,0,0,265576
,65-69 years,,0,0,215345
,70-74 years,,0,0,187575
,75-79 years,,0,0,142630
,80-84 years,,0,0,91173
,85-89 years,,0,0,36594
,90+ years,,0,0,15235
,Total,,0,0,6119456
Urinary Bladder,00-04 years,,0,0,344980
,05-09 years,,0,0,396738
,10-14 years,,0,0,426032
,15-19 years,,0,0,425339
,20-24 years,,2,0.5,430082
,25-29 years,,2,0.5,417554
,30-34 years,,3,0.7,450120
,35-39 years,,7,1.4,488773
,40-44 years,,14,2.6,543009
,45-49 years,,41,8.6,479033
,50-54 years,,70,17.2,407206
,55-59 years,,108,30.3,356462
,60-64 years,,159,59.9,265576
,65-69 years,,193,89.6,215345
,70-74 years,,240,127.9,187575
,75-79 years,,263,184.4,142630
,80-84 years,,224,245.7,91173
,85-89 years,,82,224.1,36594
,90+ years,,38,249.4,15235
,Total,,"1,446",23.6,6119456
Total,,,"29,843",21.2,140747488
