Most Common Cancers (Incidence),5 YR Age Band,Metrics,Incidence,Incidence Crude Rate,Population Count
,25-29 years,,1,0.2,414190
,30-34 years,,5,1.1,448562
,35-39 years,,7,1.4,490288
,40-44 years,,9,1.7,538900
,45-49 years,,16,3.3,485553
,50-54 years,,20,4.7,422602
,55-59 years,,28,7.7,365313
,60-64 years,,29,10.4,277909
,65-69 years,,38,16.2,233982
,70-74 years,,59,27.8,212267
,75-79 years,,68,36.6,185773
,80-84 years,,68,47.1,144499
,85-89 years,,48,65.8,72916
,90+ years,,29,68.2,42497
,Total,,426,6.8,6273265
Testis,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,0,0,415327
,25-29 years,,0,0,414190
,30-34 years,,0,0,448562
,35-39 years,,0,0,490288
,40-44 years,,0,0,538900
,45-49 years,,0,0,485553
,50-54 years,,0,0,422602
,55-59 years,,0,0,365313
,60-64 years,,0,0,277909
,65-69 years,,0,0,233982
,70-74 years,,0,0,212267
,75-79 years,,0,0,185773
,80-84 years,,0,0,144499
,85-89 years,,0,0,72916
,90+ years,,0,0,42497
,Total,,0,0,6273265
Thyroid,00-04 years,,0,0,330334
,05-09 years,,2,0.5,382765
,10-14 years,,3,0.7,405941
,15-19 years,,21,5.2,403647
,20-24 years,,45,10.8,415327
,25-29 years,,79,19.1,414190
,30-34 years,,147,32.8,448562
,35-39 years,,171,34.9,490288
,40-44 years,,189,35.1,538900
,45-49 years,,153,31.5,485553
,50-54 years,,144,34.1,422602
,55-59 years,,105,28.7,365313
,60-64 years,,90,32.4,277909
,65-69 years,,77,32.9,233982
,70-74 years,,52,24.5,212267
,75-79 years,,29,15.6,185773
,80-84 years,,14,9.7,144499
,85-89 years,,6,8.2,72916
,90+ years,,5,11.8,42497
,Total,,"1,332",21.2,6273265
Unknown,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,0,0,415327
,25-29 years,,0,0,414190
,30-34 years,,0,0,448562
,35-39 years,,0,0,490288
,40-44 years,,0,0,538900
,45-49 years,,0,0,485553
,50-54 years,,0,0,422602
,55-59 years,,0,0,365313
,60-64 years,,0,0,277909
,65-69 years,,0,0,233982
,70-74 years,,0,0,212267
,75-79 years,,0,0,185773
,80-84 years,,0,0,144499
,85-89 years,,0,0,72916
,90+ years,,0,0,42497
,Total,,0,0,6273265
Urinary Bladder,00-04 years,,0,0,330334
,05-09 years,,0,0,382765
,10-14 years,,0,0,405941
,15-19 years,,0,0,403647
,20-24 years,,0,0,415327
,25-29 years,,0,0,414190
,30-34 years,,5,1.1,448562
,35-39 years,,7,1.4,490288
,40-44 years,,13,2.4,538900
,45-49 years,,16,3.3,485553
,50-54 years,,20,4.7,422602
,55-59 years,,27,7.4,365313
,60-64 years,,48,17.3,277909
,65-69 years,,46,19.7,233982
,70-74 years,,82,38.6,212267
,75-79 years,,86,46.3,185773
,80-84 years,,82,56.7,144499
,85-89 years,,38,52.1,72916
,90+ years,,33,77.7,42497
,Total,,503,8,6273265
Total,,,"27,735",19.2,144285095
